"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","01","Domestic","-","All reasons for journey","Thousand","1169"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","01","Domestic","01","Holiday","Thousand","408"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","01","Domestic","02","Business","Thousand","161"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","01","Domestic","03","Visiting friends/relatives","Thousand","468"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","01","Domestic","08","Other reasons","Thousand","132"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","02","Outbound","-","All reasons for journey","Thousand","716"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","02","Outbound","01","Holiday","Thousand","344"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","02","Outbound","02","Business","Thousand","175"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","02","Outbound","03","Visiting friends/relatives","Thousand","142"
"HTQ01C1","Number of Trips by Irish Residents","2000Q1","2000Q1","02","Outbound","08","Other reasons","Thousand","54"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","01","Domestic","-","All reasons for journey","Thousand","1185"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","01","Domestic","01","Holiday","Thousand","554"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","01","Domestic","02","Business","Thousand","127"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","01","Domestic","03","Visiting friends/relatives","Thousand","355"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","01","Domestic","08","Other reasons","Thousand","148"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","02","Outbound","-","All reasons for journey","Thousand","1028"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","02","Outbound","01","Holiday","Thousand","642"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","02","Outbound","02","Business","Thousand","148"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","02","Outbound","03","Visiting friends/relatives","Thousand","160"
"HTQ01C1","Number of Trips by Irish Residents","2000Q2","2000Q2","02","Outbound","08","Other reasons","Thousand","78"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","01","Domestic","-","All reasons for journey","Thousand","1759"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","01","Domestic","01","Holiday","Thousand","1098"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","01","Domestic","02","Business","Thousand","92"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","01","Domestic","03","Visiting friends/relatives","Thousand","407"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","01","Domestic","08","Other reasons","Thousand","163"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","02","Outbound","-","All reasons for journey","Thousand","1213"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","02","Outbound","01","Holiday","Thousand","847"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","02","Outbound","02","Business","Thousand","129"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","02","Outbound","03","Visiting friends/relatives","Thousand","166"
"HTQ01C1","Number of Trips by Irish Residents","2000Q3","2000Q3","02","Outbound","08","Other reasons","Thousand","72"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","01","Domestic","-","All reasons for journey","Thousand","1365"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","01","Domestic","01","Holiday","Thousand","456"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","01","Domestic","02","Business","Thousand","174"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","01","Domestic","03","Visiting friends/relatives","Thousand","570"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","01","Domestic","08","Other reasons","Thousand","164"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","02","Outbound","-","All reasons for journey","Thousand","811"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","02","Outbound","01","Holiday","Thousand","393"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","02","Outbound","02","Business","Thousand","170"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","02","Outbound","03","Visiting friends/relatives","Thousand","196"
"HTQ01C1","Number of Trips by Irish Residents","2000Q4","2000Q4","02","Outbound","08","Other reasons","Thousand","53"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","01","Domestic","-","All reasons for journey","Thousand","1235"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","01","Domestic","01","Holiday","Thousand","483"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","01","Domestic","02","Business","Thousand","162"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","01","Domestic","03","Visiting friends/relatives","Thousand","446"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","01","Domestic","08","Other reasons","Thousand","144"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","02","Outbound","-","All reasons for journey","Thousand","764"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","02","Outbound","01","Holiday","Thousand","374"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","02","Outbound","02","Business","Thousand","189"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","02","Outbound","03","Visiting friends/relatives","Thousand","153"
"HTQ01C1","Number of Trips by Irish Residents","2001Q1","2001Q1","02","Outbound","08","Other reasons","Thousand","48"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","01","Domestic","-","All reasons for journey","Thousand","1373"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","01","Domestic","01","Holiday","Thousand","650"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","01","Domestic","02","Business","Thousand","144"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","01","Domestic","03","Visiting friends/relatives","Thousand","438"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","01","Domestic","08","Other reasons","Thousand","141"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","02","Outbound","-","All reasons for journey","Thousand","1115"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","02","Outbound","01","Holiday","Thousand","749"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","02","Outbound","02","Business","Thousand","161"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","02","Outbound","03","Visiting friends/relatives","Thousand","141"
"HTQ01C1","Number of Trips by Irish Residents","2001Q2","2001Q2","02","Outbound","08","Other reasons","Thousand","64"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","01","Domestic","-","All reasons for journey","Thousand","2128"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","01","Domestic","01","Holiday","Thousand","1248"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","01","Domestic","02","Business","Thousand","147"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","01","Domestic","03","Visiting friends/relatives","Thousand","518"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","01","Domestic","08","Other reasons","Thousand","216"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","02","Outbound","-","All reasons for journey","Thousand","1380"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","02","Outbound","01","Holiday","Thousand","1007"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","02","Outbound","02","Business","Thousand","127"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","02","Outbound","03","Visiting friends/relatives","Thousand","177"
"HTQ01C1","Number of Trips by Irish Residents","2001Q3","2001Q3","02","Outbound","08","Other reasons","Thousand","70"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","01","Domestic","-","All reasons for journey","Thousand","1570"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","01","Domestic","01","Holiday","Thousand","521"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","01","Domestic","02","Business","Thousand","199"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","01","Domestic","03","Visiting friends/relatives","Thousand","661"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","01","Domestic","08","Other reasons","Thousand","189"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","02","Outbound","-","All reasons for journey","Thousand","903"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","02","Outbound","01","Holiday","Thousand","439"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","02","Outbound","02","Business","Thousand","162"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","02","Outbound","03","Visiting friends/relatives","Thousand","234"
"HTQ01C1","Number of Trips by Irish Residents","2001Q4","2001Q4","02","Outbound","08","Other reasons","Thousand","69"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","-","All reasons for journey","Thousand","1360"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","01","Holiday","Thousand","485"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","02","Business","Thousand","143"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","03","Visiting friends/relatives","Thousand","582"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","01","Domestic","08","Other reasons","Thousand","151"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","-","All reasons for journey","Thousand","884"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","01","Holiday","Thousand","459"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","02","Business","Thousand","164"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","03","Visiting friends/relatives","Thousand","189"
"HTQ01C1","Number of Trips by Irish Residents","2002Q1","2002Q1","02","Outbound","08","Other reasons","Thousand","72"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","01","Domestic","-","All reasons for journey","Thousand","1446"
"HTQ01C1","Number of Trips by Irish Residents","2002Q2","2002Q2","01","Domestic","01","Holiday","Thousand","652"
