"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02599V03153","Reason for Journey","C02196V04140","Region Visited","UNIT","VALUE"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","-","State","Thousand","2118"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE04","Northern and Western","Thousand","431"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE05","Southern","Thousand","1038"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE06","Eastern and Midland","Thousand","649"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","-","All reasons for journey","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","-","State","Thousand","930"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE04","Northern and Western","Thousand","222"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE05","Southern","Thousand","488"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE06","Eastern and Midland","Thousand","220"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","01","Holiday","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","-","State","Thousand","143"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE04","Northern and Western","Thousand","29"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE041","Border","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE042","West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE05","Southern","Thousand","55"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE06","Eastern and Midland","Thousand","59"
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20181","2018Q1","02","Business","IE062","Mid-East","Thousand",""
